epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1200.88,0.47682,0.59846,0.91791,0.90518,0.78125,0.83028,0.72825,0.84201,1.38772,1.30634,0.000511769,0.000511769,0.000511769
72,1220.1,0.50768,0.61798,0.93443,0.87179,0.75556,0.83353,0.74283,0.79872,1.36954,1.26519,0.000495266,0.000495266,0.000495266
73,1238.63,0.45255,0.5457,0.92771,0.8929,0.75,0.83149,0.74046,0.79039,1.40703,1.24761,0.000478762,0.000478762,0.000478762
74,1256.62,0.49501,0.58314,0.93818,0.85018,0.78125,0.81502,0.71719,0.78314,1.41365,1.23591,0.000462259,0.000462259,0.000462259
75,1278.2,0.46339,0.53196,0.91261,0.90858,0.78125,0.83216,0.71759,0.78941,1.38564,1.24242,0.000445756,0.000445756,0.000445756
76,1297.82,0.44171,0.57995,0.90273,0.89822,0.75,0.83639,0.71392,0.79715,1.36685,1.23582,0.000429253,0.000429253,0.000429253
77,1318.3,0.40828,0.51021,0.91569,0.9186,0.74625,0.84402,0.72535,0.80933,1.39664,1.23705,0.000412749,0.000412749,0.000412749
78,1339.56,0.43352,0.54544,0.90581,0.90309,0.76577,0.84688,0.73037,0.83007,1.39472,1.24481,0.000396246,0.000396246,0.000396246
79,1361.47,0.43976,0.56319,0.95606,0.90123,0.78118,0.84659,0.74679,0.83808,1.37919,1.25351,0.000379743,0.000379743,0.000379743
80,1383.32,0.3935,0.56999,0.90738,0.905,0.78125,0.84774,0.73054,0.83016,1.35772,1.24868,0.000363239,0.000363239,0.000363239
81,1403.38,0.44334,0.55262,0.90134,0.91324,0.78125,0.85245,0.7363,0.81735,1.34793,1.2406,0.000346736,0.000346736,0.000346736
82,1431.04,0.44774,0.59588,0.93617,0.91078,0.78125,0.85634,0.73808,0.81284,1.33819,1.23023,0.000330233,0.000330233,0.000330233
83,1454.09,0.41784,0.59018,0.91736,0.91478,0.78125,0.86594,0.73795,0.8067,1.35505,1.21161,0.000313729,0.000313729,0.000313729
84,1476.84,0.43867,0.56519,0.9134,0.9146,0.78125,0.866,0.73939,0.78642,1.37594,1.19991,0.000297226,0.000297226,0.000297226
85,1496.15,0.42797,0.57072,0.92203,0.86729,0.80589,0.84853,0.73369,0.77149,1.38301,1.17842,0.000280723,0.000280723,0.000280723
86,1520.15,0.38257,0.50591,0.90157,0.87325,0.8041,0.83723,0.73811,0.75348,1.37815,1.16009,0.00026422,0.00026422,0.00026422
87,1538.92,0.36721,0.4915,0.8799,0.85898,0.78125,0.83292,0.73887,0.73574,1.35336,1.1511,0.000247716,0.000247716,0.000247716
88,1559.67,0.40561,0.51049,0.91312,0.86787,0.75,0.83116,0.75012,0.74684,1.31671,1.14283,0.000231213,0.000231213,0.000231213
89,1579.87,0.41746,0.52497,0.91456,0.84852,0.75,0.83083,0.75414,0.72617,1.27131,1.12177,0.00021471,0.00021471,0.00021471
90,1601.58,0.38326,0.45622,0.87928,0.85359,0.75,0.8425,0.7606,0.71773,1.26037,1.11232,0.000198206,0.000198206,0.000198206
91,1619.65,0.35894,0.60617,0.86108,0.83879,0.77847,0.83716,0.75133,0.71412,1.29114,1.11615,0.000181703,0.000181703,0.000181703
92,1637.36,0.29237,0.54039,0.86062,0.8479,0.78125,0.82797,0.72997,0.71845,1.33139,1.12449,0.0001652,0.0001652,0.0001652
93,1655.39,0.29609,0.53075,0.79539,0.86069,0.78125,0.82182,0.72309,0.72085,1.34999,1.13714,0.000148696,0.000148696,0.000148696
94,1672.43,0.31608,0.54042,0.83091,0.86005,0.78125,0.8188,0.71665,0.73102,1.3489,1.1391,0.000132193,0.000132193,0.000132193
95,1690.88,0.32371,0.55661,0.85365,0.86173,0.78125,0.8217,0.71666,0.72909,1.35256,1.14182,0.00011569,0.00011569,0.00011569
96,1710.68,0.33221,0.52696,0.82608,0.83359,0.8125,0.81973,0.71823,0.73569,1.34464,1.14329,9.91865e-05,9.91865e-05,9.91865e-05
97,1729.18,0.31125,0.53416,0.83848,0.83213,0.8125,0.81964,0.71634,0.74092,1.34829,1.15331,8.26832e-05,8.26832e-05,8.26832e-05
98,1748.06,0.31307,0.54782,0.86292,0.83305,0.8125,0.82044,0.71889,0.74603,1.32956,1.15466,6.61799e-05,6.61799e-05,6.61799e-05
99,1767.6,0.29465,0.5325,0.81274,0.86666,0.80298,0.82173,0.72941,0.74201,1.32651,1.15724,4.96766e-05,4.96766e-05,4.96766e-05
100,1787.02,0.30569,0.49416,0.83874,0.86629,0.80428,0.82185,0.73784,0.7415,1.32849,1.15645,3.31733e-05,3.31733e-05,3.31733e-05
